institutioncode	museum_location	scientificname	collector	year	locality	uniquekey	
UCBG     	21B	Quercus vaccinifolia Kellogg	Raiche, R.	1987	Unspecified	UCBGCalifornian-Montane Conf.87.1605	
UCBG     	163	Quercus palmeri Engelm.	Landrum, L.	1988	Unspecified	UCBGNew World Desert88.1220	
UCBG     	924	Quercus garryana Douglas ex Hook.	Unspecified	Unspecified	Unspecified	UCBGMather Redwood Grove88.1262	
UCBG     	219	Quercus liaotungensis Koidz.	Erskine, Fliegner, Howick, McNamara	1988	Unspecified	UCBGAsian89.0414	
UCBG     	220B	Quercus aliena Blume var. acuteserrata Maxim. ex Wenz.	Erskine, Fliegner, Howick, McNamara	1988	Unspecified	UCBGAsian89.0420	
UCBG     	358	Quercus oocarpa Liebm.	Campbell, D.	1989	Unspecified	UCBGMexico/Central America89.1277	
UCBG     	14	Quercus garryana Douglas ex Hook. var. breweri (Engelm.) Jeps.	Raiche, R., K. Zadnik, & H. Forbes	1989	Unspecified	UCBGCalifornian-Klamath Reg.89.1887	
UCBG     	372	Quercus saltillensis Trel.	Fairey, J.	1989	Unspecified	UCBGMexico/Central America90.0730	
UCBG     	378	Quercus saltillensis Trel.	Fairey, J.	1989	Unspecified	UCBGMexico/Central America90.0730	
UCBG     	375	Quercus gravesii Sudw.	Fairey, J.	1989	Unspecified	UCBGMexico/Central America90.0722	
UCBG     	363	Quercus gravesii Sudw.	Fairey, J.	1989	Unspecified	UCBGMexico/Central America90.0723	
UCBG     	374	Quercus graciliformis C.H. Mull.	Fairey, J.	1989	Unspecified	UCBGMexico/Central America90.0724	
UCBG     	372	Quercus polymorpha Schltdl. & Cham.	Fairey, J.	1989	Unspecified	UCBGMexico/Central America90.0725	
UCBG     	372	Quercus canbyi Trel.	Fairey, J.	1989	Unspecified	UCBGMexico/Central America90.0726	
UCBG     	368	Quercus rysophylla Weath.	Fairey, J.	1989	Unspecified	UCBGMexico/Central America90.0727	
UCBG     	15A	Quercus vaccinifolia Kellogg	Raiche, R.	1990	Unspecified	UCBGCalifornian-Alpine Fell-F90.1563	
UCBG     	350	Quercus costaricensis	Grantham, M. & J. Parsons	1990	Unspecified	UCBGMexico/Central America90.2269	
UCBG     	358	Quercus costaricensis	Grantham, M. & J. Parsons	1990	Unspecified	UCBGMexico/Central America90.2269	
UCBG     	360	Quercus	Grantham, M. & J. Parsons	1990	Unspecified	UCBGMexico/Central America90.2281	
UCBG     	359	Quercus costaricensis	Grantham, M. & J. Parsons	1990	Unspecified	UCBGMexico/Central America90.2269	
UCBG     	23B	Quercus berberidifolia Liebm.	Baker, H.G.	Unspecified	Unspecified	UCBGCalifornian-Rocky Chapar.91.0838	
UCBG     	372	Quercus	Nicholson, R. & M. Shemluck	1990	Unspecified	UCBGMexico/Central America91.1415	
UCBG     	372	Quercus	Nicholson, R. & M. Shemluck	1990	Unspecified	UCBGMexico/Central America91.1418	
UCBG     	309	Quercus virginiana Mill.	Shell, P.	1991	Unspecified	UCBGEastern North America92.0005	
UCBG     	356	Quercus tristis Liebm.	Wilamowski, D.	1991	Unspecified	UCBGMexico/Central America92.0889	
UCBG     	360	Quercus tristis Liebm.	Wilamowski, D.	1991	Unspecified	UCBGMexico/Central America92.0889	
UCBG     	366	Quercus tristis Liebm.	Wilamowski, D.	1991	Unspecified	UCBGMexico/Central America92.0889	
UCBG     	12A	Quercus durata Jeps.	Raiche, R., K. Zadnik & H. Forbes	1992	Unspecified	UCBGCalifornian-Chaparral92.1092	
UCBG     	7A	Quercus durata Jeps.	Raiche, R.	1992	Unspecified	UCBGCalifornian-Serpentine92.1083	
UCBG     	7C	Quercus durata Jeps.	Raiche, R., K. Zadnik & H. Forbes	1992	Unspecified	UCBGCalifornian-Serpentine92.1094	
UCBG     	374	Quercus aff. grisea Liebm.	Fairey, J.	1991	Unspecified	UCBGMexico/Central America92.1299	
UCBG     	35	Quercus palmeri Engelm.	Raiche, R.	1992	Unspecified	UCBGCalifornian-Hammond92.1452	
UCBG     	163	Quercus	Fairey, J.	1992	Unspecified	UCBGNew World Desert93.0269	
UCBG     	368	Quercus rysophylla Weath.	Unspecified	Unspecified	Unspecified	UCBGMexico/Central America94.1173	
UCBG     	12A	Quercus berberidifolia Liebm.	Raiche, R.	1994	Unspecified	UCBGCalifornian-Chaparral94.1523	
UCBG     	21A	Quercus berberidifolia Liebm.	Raiche, R.	1994	Unspecified	UCBGCalifornian-Montane Conf.94.1523	
UCBG     	22A	Quercus berberidifolia Liebm.	Raiche, R.	1994	Unspecified	UCBGCalifornian-Shaded Canyon94.1523	
UCBG     	226	Quercus serrata Thunb.	Tyrell, Leia Grossman	1992	Unspecified	UCBGAsian95.0545	
UCBG     	15A	Quercus vaccinifolia Kellogg	Raiche, R., K. Zadnik, & H. Forbes	1995	Unspecified	UCBGCalifornian-Alpine Fell-F95.1114	
UCBG     	7D	Quercus vaccinifolia Kellogg	Raiche, R., K. Zadnik, & H. Forbes	1995	Unspecified	UCBGCalifornian-Serpentine95.1114	
UCBG     	9	Quercus tomentella Engelm.	Wilken, D.	1995	Unspecified	UCBGCalifornian-Channel Isld.95.1282	
UCBG     	73	Quercus tomentella Engelm.	Wilken, D.	1995	Unspecified	UCBGCalifornian-Island Oak95.1282	
UCBG     	710	Quercus	Warren, P.	1994	Unspecified	UCBGMediterranean96.0860	
UCBG     	710	Quercus	Warren, P.	1994	Unspecified	UCBGMediterranean96.0861	
UCBG     	355	Quercus rysophylla Weath.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0482	
UCBG     	358	Quercus rysophylla Weath.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0482	
UCBG     	363	Quercus canbyi Trel.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0484	
UCBG     	374	Quercus canbyi Trel.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0485	
UCBG     	363	Quercus sartorii Liebm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0486	
UCBG     	374	Quercus sartorii Liebm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0486	
UCBG     	372	Quercus	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0492	
UCBG     	374	Quercus	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0492	
UCBG     	368	Quercus	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0487	
UCBG     	376	Quercus canbyi Trel.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0494	
UCBG     	375	Quercus grisea Liebm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0495	
UCBG     	376	Quercus grisea Liebm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0495	
UCBG     	363	Quercus muehlenbergii Engelm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0509	
UCBG     	364	Quercus muehlenbergii Engelm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0509	
UCBG     	365	Quercus muehlenbergii Engelm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0509	
UCBG     	362	Quercus aff. polymorpha Schltdl. & Cham.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0497	
UCBG     	363	Quercus aff. polymorpha Schltdl. & Cham.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0497	
UCBG     	378	Quercus aff. polymorpha Schltdl. & Cham.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0497	
UCBG     	365	Quercus canbyi Trel.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0514	
UCBG     	375	Quercus	Fairey, J.	1997	Unspecified	UCBGMexico/Central America97.0562	
UCBG     	376	Quercus	Fairey, J.	1997	Unspecified	UCBGMexico/Central America97.0562	
UCBG     	NURS	Quercus	Fairey, J.	1997	Unspecified	UCBGnone97.0563	
UCBG     	375	Quercus	Fairey, J.	1997	Unspecified	UCBGMexico/Central America97.0565	
UCBG     	363	Quercus aff. pungens Liebm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0506	
UCBG     	366	Quercus aff. pungens Liebm.	Schoenfeld, C. & J. Fairey	1997	Unspecified	UCBGMexico/Central America97.0506	
UCBG     	101	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornia Cultivar Gdn99.0001	
UCBG     	103	Quercus agrifolia Nee	Unspecified	Unspecified	Unspecified	UCBGCalifornia Cultivar Gdn99.0001	
UCBG     	377	Quercus scytophylla Liebm.	Shell, P.	1999	Unspecified	UCBGMexico/Central America99.0624	
UCBG     	377	Quercus	Shell, P.	1999	Unspecified	UCBGMexico/Central America99.0625	
UCBG     	368	Quercus	Shell, P.	1999	Unspecified	UCBGMexico/Central America99.0626	
UCBG     	370	Quercus	Shell, P.	1999	Unspecified	UCBGMexico/Central America99.0627	
UCBG     	NURS	Quercus	Ornduff, R.	1999	Unspecified	UCBGnone99.0557	
UCBG     	363	Quercus candicans N̩e	Shell, P.	1999	Unspecified	UCBGMexico/Central America99.0620	
UCBG     	365	Quercus candicans N̩e	Shell, P.	1999	Unspecified	UCBGMexico/Central America99.0620	

