MBIO5682			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1093	5682
MBIO5683			Arthropoda	Insecta	Coleoptera					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1094	5683
MBIO5684			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1095	5684
MBIO5685	Oopsis		Arthropoda	Insecta	Coleoptera	Cerambycidae	Oopsis			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1096	5685
MBIO5686			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1097	5686
MBIO5687			Arthropoda	Insecta	Heteroptera					Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1098	5687
MBIO5688	Kallitaxila sinica		Arthropoda	Insecta	Hemiptera	Tropiduchidae	Kallitaxila	sinica		Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1099	5688
MBIO5689	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1100	5689
MBIO5690	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1101	5690
MBIO5691	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1102	5691
MBIO5692	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1103	5692
MBIO5693	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1104	5693
MBIO5694	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1105	5694
MBIO5695	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1106	5695
MBIO5696	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1107	5696
MBIO5697	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1108	5697
MBIO5698	Scyrmus		Arthropoda	Insecta	Coleoptera	Coccinelidae	Scyrmus			Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1109	5698
MBIO5699			Arthropoda	Insecta	Coleoptera	Coccinelidae				Anne Duplouy	2006	Gump Research station (Pihaena)		0	-149.82664	-17.49050				334	WB_1110	5699

